id,ident,type,name,latitude_deg,longitude_deg,municipality
26605,VOBR,medium_airport,Bidar Air Force Station,17.90810013,77.48709869,Bidar
26602,VOAT,medium_airport,Agatti Airport,10.82369995,72.1760025,Agatti
26520,VERK,medium_airport,Rourkela Airport,22.256701,84.814598,Rourkela
26547,VIBT,medium_airport,Bhatinda Air Force Station,30.27009964,74.75579834,Bhatinda
26537,VIAG,medium_airport,Agra Airport,27.15579987,77.96089935,Agra
26604,VOBI,medium_airport,Bellary Airport,15.16279984,76.88279724,Bellary
26613,VODG,medium_airport,Dundigul Air Force Academy,17.62719917,78.40339661,Hyderabad
26506,VEJS,medium_airport,Sonari Airport,22.8132,86.1688,Jamshedpur
26567,VIKO,medium_airport,Kota Airport,25.16020012,75.84559631,Kota
26571,VIPK,medium_airport,Pathankot Airport,32.233611,75.634444,Pathankot
26621,VOPC,medium_airport,Pondicherry Airport,11.968,79.812,Pondicherry
26608,VOCC,small_airport,Willingdon Island Air Base,9.947389603,76.27310181,Kochi
26619,VONS,small_airport,Nagarjuna Sagar Airport,16.54269981,79.3187027,Nagarjuna Sagar
26493,VEBK,small_airport,Bokaro Airport,23.64349937,86.14890289,Bokaro
3286,VA1E,small_airport,Bhilai Airport,21.2942009,81.37950134,Bhilai
3291,VA1K,small_airport,Raedhanpur Airport,23.22229958,68.89129639,Raedhanpur
26548,VIBW,small_airport,Bhiwani Airport,28.83699989,76.17910004,Bhiwani
3310,VE36,small_airport,Nuagaon Airport,20.51169968,83.44809723,Nuagaon
26572,VIPL,small_airport,Patiala Airport,30.31480026,76.36450195,Patiala
26580,VIUT,small_airport,Uttarlai Airport,25.81299973,71.4822998,Uttarlai
26614,VOHK,small_airport,Hakimpet Airport,17.55349922,78.52490234,Hakimpet
26574,VIRB,small_airport,Fursatganj Airport,26.24850082,81.38050079,Fursatganj
26551,VICX,medium_airport,Kanpur Airport,26.404301,80.410103,Kanpur
3288,VA1G,medium_airport,"Rewa Airport, Chorhata, REWA",24.503401,81.220299,Rewa
26625,VOSX,small_airport,Coimbatore Air Force Station,11.01360035,77.15969849,Sulur
26631,VOYK,small_airport,Yelahanka Air Force Station,13.13549995,77.60600281,Yelahanka
312234,IN-0090,small_airport,Deoghar Airstrip,24.44666667,86.70694444,Deoghar
301051,IN-0074,small_airport,Barbil Aerodrome (JSPL),22.04861389,85.37419444,Barbil
309893,VEKJ,small_airport,KEONJHAR AIRPORT,21.69666667,85.58166667,Keonjhar
44908,IN-0013,small_airport,Nadirgul Airport,17.30606651,78.56048584,Nadirgul
309591,IN-0087,heliport,GAUCHER,30.28444444,79.16166667,Gaucher
46481,IN-0023,small_airport,Amreli Airstrip,21.61985086,71.22333527,Amreli
301145,IN-0077,closed,Bhagalpur Airport,25.249359,87.009779,Bhagalpur
44629,IN-VOHP,small_airport,"Kopal,Hospet Airport",15.358334,76.51667,Hospete
44630,VOKP,small_airport,Koppal Aerodrome,15.35910034,76.21929932,Koppal
46581,IN-0053,small_airport,Shibpur Airstrip,13.2363163,93.04973066,Madhupur
26451,VAKP,medium_airport,Kolhapur Airport,16.66469955,74.28939819,Kolhapur
26579,VIST,small_airport,Satna Airport,24.5623,80.854897,Satna
26490,VEAZ,heliport,Tuirial Airfield,23.7432,92.8024,Aizawl
26513,VEMR,medium_airport,Dimapur Airport,25.88389969,93.77110291,Dimapur
26558,VIGR,medium_airport,Gwalior Airport,26.29330063,78.22779846,Gwalior
26566,VIKA,small_airport,Kanpur Civil Airport,26.441401,80.364899,Kanpur
26511,VELR,medium_airport,North Lakhimpur Airport,27.2954998,94.09760284,Lilabari
26492,VEBI,medium_airport,Shillong Airport,25.70359993,91.97869873,Shillong
26612,VOCX,medium_airport,Car Nicobar Air Force Station,9.152509689,92.81960297,Car Nicobar 
26488,VEAN,medium_airport,Along Airport,28.1753006,94.80200195,Along 
26498,VEDB,medium_airport,Dhanbad Airport,23.83399963,86.4253006,Dhanbad
26514,VEMZ,medium_airport,Muzaffarpur Airport,26.11910057,85.31369781,Muzaffarpur
26441,VADN,medium_airport,Daman Airport,20.43440056,72.84320068,Daman
26552,VIDD,medium_airport,Safdarjung Airport,28.58449936,77.20580292,Safdarjung
26559,VIHR,medium_airport,Hissar Airport,29.17939949,75.75530243,Hissar
26575,VISA,medium_airport,Sirsa Air Force Station,29.56060028,75.00610352,Sirsa 
26581,VIUX,medium_airport,Udhampur Air Force Station,32.90219879,75.15619659,Udhampur
26457,VARG,medium_airport,Ratnagiri Airport,17.013599,73.327797,Ratnagiri
26443,VAGN,small_airport,Guna Airport,24.654699,77.347298,Guna 
26568,VILD,medium_airport,Ludhiana Airport,30.85470009,75.95259857,Ludhiana
26564,VIJR,medium_airport,Jaisalmer Airport,26.88870049,70.86499786,Jaisalmer
